Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-22,50.43,50.88,49.98,50.76,28322200,0.0,0
2015-12-23,51.08,51.25,50.85,51.19,27279800,0.0,0
2015-12-24,51.23,51.32,50.84,51.06,9558500,0.0,0
2015-12-28,50.76,51.31,50.42,51.31,22458300,0.0,0
2015-12-29,51.63,52.14,51.41,51.86,27731400,0.0,0
2015-12-30,51.79,52.07,51.63,51.64,21704500,0.0,0
2015-12-31,51.4,51.53,50.83,50.88,27334100,0.0,0
2016-01-04,49.82,50.26,48.97,50.26,53778000,0.0,0
2016-01-05,50.38,50.8,50.02,50.49,34079700,0.0,0
2016-01-06,49.82,49.89,49.19,49.57,39518900,0.0,0
2016-01-07,48.33,49.06,47.76,47.85,56564900,0.0,0
2016-01-08,48.03,48.86,47.83,47.99,48754000,0.0,0
2016-01-11,48.16,48.47,47.2,47.97,36943800,0.0,0
2016-01-12,48.39,48.7,47.75,48.41,36095500,0.0,0
2016-01-13,49.34,49.59,47.05,47.36,66883600,0.0,0
2016-01-14,47.69,48.99,47.3,48.71,52381900,0.0,0
2016-01-15,47.06,47.66,46.17,46.76,71820700,0.0,0
2016-01-19,47.21,47.4,45.91,46.37,43564500,0.0,0
2016-01-20,45.84,47.12,45.03,46.58,63273000,0.0,0
2016-01-21,46.77,47.31,46.13,46.3,40191200,0.0,0
2016-01-22,47.15,47.99,47.01,47.96,37555800,0.0,0
2016-01-25,47.64,48.29,47.37,47.5,34707700,0.0,0
2016-01-26,47.5,48.09,47.28,47.85,28900800,0.0,0
2016-01-27,47.7,47.87,46.79,46.98,36775200,0.0,0
2016-01-28,47.56,47.88,47.0,47.75,62513800,0.0,0
2016-01-29,50.19,50.52,49.53,50.52,83611700,0.0,0
2016-02-01,50.33,50.52,49.98,50.18,44208500,0.0,0
2016-02-02,49.68,49.76,48.29,48.61,56313800,0.0,0
2016-02-03,48.84,48.97,47.01,47.84,57559800,0.0,0
2016-02-04,47.78,48.43,47.11,47.69,46987100,0.0,0
2016-02-05,47.64,47.69,45.45,46.0,62009000,0.0,0
2016-02-08,45.44,45.46,44.2,45.32,59290500,0.0,0
2016-02-09,44.96,46.08,44.64,45.2,46740500,0.0,0
2016-02-10,45.76,46.21,45.42,45.59,38237000,0.0,0
2016-02-11,44.65,45.96,44.49,45.57,48878600,0.0,0
2016-02-12,46.09,46.48,45.63,46.32,34243300,0.0,0
2016-02-16,47.02,47.19,46.31,47.19,37291200,0.36,0
2016-02-17,47.56,48.74,47.53,48.42,40789000,0.0,0
2016-02-18,48.34,48.91,48.13,48.21,27176000,0.0,0
2016-02-19,48.01,48.29,47.6,47.87,33559100,0.0,0
2016-02-22,48.29,48.96,48.29,48.63,25008300,0.0,0
2016-02-23,48.35,48.38,47.09,47.28,28895300,0.0,0
2016-02-24,46.82,47.57,46.37,47.44,33014500,0.0,0
2016-02-25,47.78,48.13,46.75,48.13,26939500,0.0,0
2016-02-26,48.59,48.66,47.2,47.39,35975900,0.0,0
2016-02-29,47.43,47.71,46.8,47.0,31654000,0.0,0
2016-03-01,47.08,48.58,47.04,48.57,33024500,0.0,0
2016-03-02,48.41,48.92,48.18,48.91,29289900,0.0,0
2016-03-03,48.93,48.93,47.83,48.36,24427800,0.0,0
2016-03-04,48.4,48.45,47.77,48.06,33034200,0.0,0
2016-03-07,47.63,47.85,46.72,47.14,38407800,0.0,0
2016-03-08,46.92,48.15,46.74,47.71,33835100,0.0,0
2016-03-09,47.93,48.82,47.9,48.81,28251600,0.0,0
2016-03-10,48.89,48.9,47.26,48.08,38387800,0.0,0
2016-03-11,48.96,49.02,48.38,49.02,32275700,0.0,0
2016-03-14,48.69,49.5,48.62,49.11,24083600,0.0,0
2016-03-15,48.73,49.5,48.72,49.5,21104800,0.0,0
2016-03-16,49.37,50.43,49.33,50.2,31691700,0.0,0
2016-03-17,50.07,50.8,49.88,50.49,28223900,0.0,0
2016-03-18,50.73,50.78,49.37,49.41,67625500,0.0,0
2016-03-21,49.19,49.82,48.89,49.75,23925700,0.0,0
2016-03-22,49.52,50.11,49.38,49.95,23124100,0.0,0
2016-03-23,49.98,50.1,49.64,49.85,20129000,0.0,0
2016-03-24,49.73,50.19,49.63,50.07,19950000,0.0,0
2016-03-28,50.07,50.15,49.26,49.46,17025100,0.0,0
2016-03-29,49.57,50.68,49.37,50.54,23924300,0.0,0
2016-03-30,50.74,51.4,50.71,50.85,23008300,0.0,0
2016-03-31,50.76,51.35,50.68,51.02,26360500,0.0,0
2016-04-01,50.85,51.37,50.41,51.33,24399200,0.0,0
2016-04-04,51.2,51.41,50.8,51.2,18928800,0.0,0
2016-04-05,50.98,51.08,50.31,50.4,19272300,0.0,0
2016-04-06,50.21,50.99,50.07,50.92,21188700,0.0,0
2016-04-07,50.68,50.72,50.09,50.31,19225100,0.0,0
2016-04-08,50.5,51.06,50.18,50.27,22167200,0.0,0
2016-04-11,50.33,50.94,50.16,50.17,21414200,0.0,0
2016-04-12,50.22,50.6,49.66,50.48,24944300,0.0,0
2016-04-13,50.92,51.21,50.7,51.13,20818000,0.0,0
2016-04-14,51.01,51.34,50.87,51.14,20877100,0.0,0
2016-04-15,51.08,51.65,50.91,51.4,28793800,0.0,0
